sent0,sent1,hard_neg,source
yeah my husband my husband teaches in Plano,yeah my husband teaches piano,no my husband does not teach piano,nli_negation
A large crowd with some walking in various directions and other seated on a large series of steps.,There are people sitting on the steps.,There is only one person on the steps.,nli_base
Source: Running water; Edit instruction: make the water into waste water,Waste water,Running water,webvid_covr_multimodal
Two gray dogs fight.,Two dogs with each other.,Two dogs chasing a cat,nli_base
A child plugs the wire of the microwave to the socket,A child is plugging the wire inside a socket on the wall,A child unplugs the wire of the microwave from the socket,ego4d_temporal
Two men play backgammon as a friend watches.,"Three people are gathered, two of which are playing backgammon.",Three people are climbing a fence.,nli_base
Source: Kids drawing white screen with theme of crow; Edit instruction: make the white screen with theme of a wallet,Kids drawing white screen with theme of wallet,Kids drawing white screen with theme of crow,webvid_covr_multimodal
An Asian lady weaves beautiful fabrics together outside her storefront selling her pre-made pieces.,An Asain lady is selling her pre-made pieces.,A french woman is at the market.,nli_base
Source: Cutting vegetables; Edit instruction: Cut onion,Cutting onion,Cutting vegetables,webvid_covr_multimodal
Source: Background plant; Edit instruction: make it a,Background color,Background plant,webvid_covr_multimodal
Source: Religious sunset; Edit instruction: make it a grass sun,Grass sunset,Religious sunset,webvid_covr_multimodal
A bunch of people laying or sitting on the ground outside.,A group is lounging around outdoors.,A group is watching a movie in a dark room.,nli_base
A woman walking along side a purple building.,A woman is outside walking.,A woman is indoors setting down.,nli_base
"A brunette girl with a white shirt and brown backpack is holding an orange, yellow, and red kite shaped like a fish.",A kid is grasping something colorful.,A kid is holding two ice cream cones and is laying on the ground.,nli_base
Source: water stream; Edit instruction: make it bubbles instead of stream,Water bubbles,water stream,webvid_covr_multimodal
Source: Lizard in the grass; Edit instruction: Make it an alligator,Alligator in the grass,Lizard in the grass,webvid_covr_multimodal
Two boys play with two dogs next to the ocean.,Two boys are playing with two dogs.,Three girls are playing with a dog in the forest.,nli_base
"Source: New year text text funny. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b); Edit instruction: make it a screen","New year text text screen. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b)","New year text text funny. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b)",webvid_covr_multimodal
Two men are wrestling in a gym.,The men are inside,The men are cooking,nli_base
oh yeah yeah yeah i know my husband doesn't have air conditioning in his car and he when he comes home from work you know during the Summer he's just well he feels like he's burning like he's been baking for an hour gosh,"Without air condition in his car, my husband feels way too hot.","I'm so glad my husband has air conditioning in his car, he loves it and feels cool all day long.",nli_base
A group of construction workers walk past a building under construction.,The group of construction workers are outside.,The workers are standing still.,nli_base
"El Escorial is a dramatic monastery, mausoleum, and palace built by Felipe II, and one of the most-visited places in Spain; and nearby is El Valle de los Ca?­dos (Valley of the Fallen), Franco's memorial to his reign and soldiers killed in the Civil War of 1936 1939.",Felipe II built El Escorial.,El Escorial is a sprawling airport built for Spain's expanding infrastructure.,nli_base
A man in a black jacket on a bike talks to a seated woman on a busy street.,The man is wearing a jacket.,The man is swimming in a pool.,nli_base
Source: Buddha statue; Edit instruction: Make it a Buddha,Buddha shrine,Buddha statue,webvid_covr_multimodal
"A young girl is lying on a rug, drawing with crayons.",a girl coloring,a girl sleeping on a bench,nli_base
"As applied to Vietnam, this would mean staying out of a fight that was likely to go bad.",This would mean staying out of a fight that was likely to go bad.,You should stay in a fight that is likely to go bad.,nli_base
Source: Crimson sunset; Edit instruction: set it in Lap,Lapland sunset,Crimson sunset,webvid_covr_multimodal
Source: Wind turbine aerial; Edit instruction: replace with fields of wind turbines,Wind turbine fields,Wind turbine aerial,webvid_covr_multimodal
A child picks up the knife from the kitchen top,A child is picking up the knife from the table,A child puts down the knife from the kitchen top,ego4d_temporal
My date is not coming on time.,date is late,cow lays down,nli_base
A man in an orange vest and yellow hard hat looks on as a yellow vehicle lays track.,people lay track,girl sits alone in chair,nli_base
Source: Kids drawing black screen with theme of classroom; Edit instruction: have the kids draw a black screen with a theme of community,Kids drawing black screen with theme of community,Kids drawing black screen with theme of classroom,webvid_covr_multimodal
"Source: The appearance of the green neon symbol function. flicker, in - out. alpha channel premultiplied - matted with color black; Edit instruction: Make the green neon","The appearance of the green neon symbol leaf. flicker, in - out. alpha channel premultiplied - matted with color black","The appearance of the green neon symbol function. flicker, in - out. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
Source: Happy couple cyclist; Edit instruction: Have them embrace,Happy couple embracing,Happy couple cyclist,webvid_covr_multimodal
Across the street is Jerusalem's Independence Park.,On the same street is Jerusalem's Independence Park.,Jerusalem's Independence Park is on the same side of the street.,nli_base
Source: City of bangkok; Edit instruction: turn it into a view of bangkok,View of bangkok,City of bangkok,webvid_covr_multimodal
Source: Antique building; Edit instruction: make it into a university building,University building,Antique building,webvid_covr_multimodal
Source: Kids drawing white screen with theme of finance; Edit instruction: add a greeting,Kids drawing white screen with theme of hello,Kids drawing white screen with theme of finance,webvid_covr_multimodal
Source: Blue connectivity; Edit instruction: Make sunset,Blue sunset,Blue connectivity,webvid_covr_multimodal
A woman holds a lit lamp.,The woman is holding a lamp.,A man is holding a book.,nli_base
But a film and a slide show are not the same thing as fully imagined fiction.,A film and a slide show are not a substitute for a fully imagined fiction.,A film and a slide show an easily pass for a fully imagined fiction.,nli_base
Source: Canyon in the forest; Edit instruction: Make it a creek,Creek in the forest,Canyon in the forest,webvid_covr_multimodal
Source: Lamb grazing; Edit instruction: Make it a hippopotamus,Hippo grazing,Lamb grazing,webvid_covr_multimodal
Two women in shorts run down a beach along the water.,Two women run along the beach.,Two women are fleeing from a shark.,nli_base
Source: Chicken on the grill; Edit instruction: make the grill a fire,Fire on the grill,Chicken on the grill,webvid_covr_multimodal
Source: Kids drawing green screen with theme of taurus; Edit instruction: make the kids draw on a screen with an internet theme,Kids drawing green screen with theme of internet,Kids drawing green screen with theme of taurus,webvid_covr_multimodal
